step,critic_loss,actor_loss,logp_mean,Q_pi,dist2,reward_mean,reward_std,critic_grad_norm,actor_grad_norm
1,17.157469749450684,12.190042495727539,56.03480529785156,-0.906302809715271,1.9891600608825684,-1.9859950542449951,0.051993001252412796,102.14442443847656,1.0321770906448364
2,10.620654582977295,12.72237777709961,56.032310485839844,-1.3621344566345215,2.013737201690674,-1.995147466659546,0.06719332188367844,74.5279541015625,1.080245852470398
3,7.074225425720215,12.9970703125,56.033172607421875,-2.005720615386963,2.0147762298583984,-1.9985978603363037,0.051858097314834595,57.57658767700195,1.1811704635620117
4,5.1036741733551025,13.206056118011475,56.03455352783203,-2.006106376647949,2.0235507488250732,-1.9961684942245483,0.05515637993812561,47.2775993347168,1.0125689506530762
5,3.4845640659332275,13.196174621582031,56.04678726196289,-1.9259417057037354,2.021925687789917,-1.9848597049713135,0.060837697237730026,39.689476013183594,1.0198085308074951
6,2.561723470687866,13.11029052734375,56.038818359375,-1.7926697731018066,2.0333456993103027,-2.000906467437744,0.06917457282543182,29.593236923217773,1.0398504734039307
7,1.2586539387702942,13.004145622253418,56.04031753540039,-1.8235124349594116,2.0285768508911133,-1.9943044185638428,0.049492932856082916,17.47264862060547,0.7753827571868896
8,1.2692093253135681,13.124336242675781,56.039466857910156,-1.8807485103607178,2.0431582927703857,-1.9957122802734375,0.0629505142569542,13.723888397216797,0.8616746664047241
9,0.8876014351844788,13.401952743530273,56.0472412109375,-1.9926159381866455,2.0421195030212402,-2.0153982639312744,0.0586552657186985,12.277825355529785,0.8008530735969543
10,0.9630817770957947,13.547686576843262,56.038604736328125,-2.346513271331787,2.052494525909424,-1.996764063835144,0.06314001232385635,14.08793830871582,0.7146860957145691
11,1.253076434135437,13.685782432556152,56.04609298706055,-2.371454954147339,2.0478696823120117,-2.0014657974243164,0.06157967820763588,18.630657196044922,0.8099371790885925
12,1.0064342617988586,13.606508731842041,56.02936553955078,-2.3617634773254395,2.077789783477783,-1.9923709630966187,0.06423395127058029,17.635478973388672,0.7627121806144714
13,1.4223092794418335,13.58892822265625,56.04339599609375,-2.5121095180511475,2.0715575218200684,-1.9896035194396973,0.05626719072461128,20.72533416748047,0.8777655363082886
14,1.0721688270568848,13.529054641723633,56.02967071533203,-2.203113079071045,2.091432571411133,-1.9943149089813232,0.064052052795887,18.652565002441406,0.7442513704299927
15,0.9582343697547913,13.320181369781494,56.03815841674805,-2.226135015487671,2.0943992137908936,-2.0014994144439697,0.06905826181173325,15.122828483581543,0.6674259901046753
16,0.9964079260826111,13.32304334640503,56.03019332885742,-2.1453452110290527,2.11073637008667,-1.9941811561584473,0.06309185922145844,13.82050895690918,0.6621634364128113
17,0.7187022268772125,13.19840145111084,56.04205322265625,-1.968713641166687,2.10272216796875,-1.9823135137557983,0.06723517924547195,10.203815460205078,0.6137037873268127
18,0.5915129780769348,13.132421016693115,56.040828704833984,-1.8600857257843018,2.1038718223571777,-1.9955601692199707,0.0666605681180954,8.380770683288574,0.6989750862121582
19,0.44912341237068176,13.06245470046997,56.04103088378906,-1.8547810316085815,2.1216886043548584,-1.9935685396194458,0.05611085146665573,6.301969051361084,0.5365602374076843
20,0.4662630558013916,13.071396827697754,56.0366096496582,-1.839811086654663,2.1226389408111572,-1.995566725730896,0.06373210996389389,7.322591304779053,0.568237841129303
21,0.4544658064842224,13.213101863861084,56.03865051269531,-1.9453942775726318,2.1192052364349365,-1.989661693572998,0.0720568373799324,9.863655090332031,0.5934425592422485
22,0.5621037185192108,13.203123092651367,56.04003143310547,-1.8939751386642456,2.1310081481933594,-2.0021796226501465,0.05954769626259804,8.20617389678955,0.5950884222984314
23,0.4164019078016281,13.104986190795898,56.04189682006836,-1.9391217231750488,2.141082763671875,-1.998726725578308,0.06983005255460739,8.415864944458008,0.6799400448799133
24,0.4256049245595932,13.18698787689209,56.03504180908203,-1.8631961345672607,2.1530308723449707,-2.008803129196167,0.06108799949288368,6.299499988555908,0.6688445806503296
25,0.4301184117794037,13.154438972473145,56.03403091430664,-1.9523568153381348,2.1674129962921143,-1.9934306144714355,0.061198264360427856,5.770487308502197,0.560606062412262
26,0.31315308809280396,13.058987617492676,56.04566955566406,-1.9466972351074219,2.165400743484497,-1.9987397193908691,0.07915197312831879,5.556400299072266,0.5729475021362305
27,0.3541555851697922,13.260454177856445,56.045310974121094,-1.989809274673462,2.1755805015563965,-1.9892340898513794,0.07631954550743103,5.0467529296875,0.6141927242279053
28,0.39353325963020325,13.267909526824951,56.03742599487305,-1.9429943561553955,2.1792800426483154,-1.990795612335205,0.058673541992902756,6.12399959564209,0.6554638147354126
