step,critic_loss,actor_loss,logp_mean,Q_pi,dist2,reward_mean,reward_std,critic_grad_norm,actor_grad_norm
29,0.34884992241859436,13.306716442108154,56.0367546081543,-2.0034265518188477,2.1630704402923584,-2.0014688968658447,0.04961658641695976,6.055027484893799,0.6172366738319397
30,0.32717202603816986,13.234515190124512,56.035858154296875,-2.060765266418457,2.1854805946350098,-1.990872859954834,0.06421038508415222,5.5398640632629395,0.7125017046928406
31,0.3195642977952957,13.300857543945312,56.0428581237793,-2.0161938667297363,2.1876580715179443,-1.9924650192260742,0.06031450256705284,5.42177152633667,0.5950491428375244
32,0.281063437461853,13.314272403717041,56.04401397705078,-2.078680992126465,2.1729423999786377,-1.9830604791641235,0.06208774074912071,6.157415866851807,0.7016476392745972
33,0.23892491310834885,13.192572116851807,56.04159927368164,-1.9728753566741943,2.1474244594573975,-1.9926888942718506,0.05938756465911865,4.59139347076416,0.641252338886261
34,0.2848131135106087,13.16653299331665,56.035911560058594,-1.951584815979004,2.1373753547668457,-1.9955617189407349,0.051108747720718384,4.729515552520752,0.6149986386299133
35,0.25072772800922394,13.168174743652344,56.03069305419922,-1.9200241565704346,2.149635076522827,-1.9938985109329224,0.058901235461235046,4.2451090812683105,0.5610291361808777
36,0.21867022663354874,13.258525848388672,56.039337158203125,-1.9206955432891846,2.134399175643921,-1.9939987659454346,0.05089912563562393,4.028705596923828,0.6124863624572754
37,0.25016050785779953,13.195425987243652,56.03450012207031,-2.0262019634246826,2.1332814693450928,-1.9970024824142456,0.062015101313591,4.352051258087158,0.6296966671943665
38,0.267566442489624,13.22829532623291,56.03282928466797,-2.0786848068237305,2.1402111053466797,-1.9889544248580933,0.06334879994392395,5.703920364379883,0.6456767916679382
39,0.17645950615406036,13.199240684509277,56.04380798339844,-1.9402711391448975,2.118863821029663,-1.9969077110290527,0.06057380139827728,3.4900152683258057,0.6375974416732788
40,0.19655175507068634,13.204524993896484,56.032386779785156,-2.0334157943725586,2.112722396850586,-1.9913487434387207,0.05510610714554787,3.889044761657715,0.5609812140464783
41,0.26721134781837463,13.135940074920654,56.03919982910156,-2.0009145736694336,2.0885958671569824,-2.0132369995117188,0.06598885357379913,4.092828750610352,0.6052564382553101
42,0.22877682000398636,13.173866271972656,56.04022979736328,-1.8784109354019165,2.0905776023864746,-2.0021443367004395,0.07246267795562744,4.355782985687256,0.5526515245437622
43,0.2790687084197998,13.175507068634033,56.041107177734375,-2.060138463973999,2.0854480266571045,-1.9993172883987427,0.052028220146894455,4.591352462768555,0.5780496597290039
44,0.2913797199726105,13.234640121459961,56.04197311401367,-2.041862726211548,2.0868425369262695,-1.9934735298156738,0.05373365059494972,5.196459770202637,0.6680587530136108
45,0.22724668681621552,13.274849891662598,56.04282760620117,-2.0521979331970215,2.065898895263672,-1.9930691719055176,0.06969230622053146,3.897907257080078,0.611863911151886
46,0.19134113937616348,13.242587089538574,56.04020309448242,-2.03019380569458,2.054023027420044,-1.9989509582519531,0.06233501061797142,3.9560275077819824,0.6406273245811462
47,0.21344800293445587,13.157449722290039,56.02955627441406,-2.0184414386749268,2.032327890396118,-1.9971156120300293,0.05599932372570038,3.9992740154266357,0.6142296195030212
48,0.2601279020309448,13.133190155029297,56.03948211669922,-1.95527982711792,2.015392303466797,-1.987345814704895,0.06062539666891098,4.536360263824463,0.5927445292472839
49,0.20766394585371017,13.102072715759277,56.04136657714844,-1.9028880596160889,2.002092123031616,-2.003610610961914,0.04809645190834999,3.3905091285705566,0.5656462907791138
50,0.22726775705814362,13.054039001464844,56.03313446044922,-1.906266450881958,1.9960755109786987,-2.0010554790496826,0.05924353748559952,5.354386806488037,0.530236542224884
